"A","B"
24843,25103
24843,25523
24843,25620
24843,26262
24843,26558
24843,27061
24843,27178
24843,27180
24843,27509
24843,27638
24843,28104
24843,28142
24843,28208
24843,28606
24843,28909
24843,28911
24843,29105
24843,29343
24843,29835
24843,29861
24843,29914
24843,30031
24843,30969
24843,31177
24843,31216
24843,31268
24843,31588
24843,31624
24843,32455
24843,32457
24843,32592
24843,32620
24843,32692
24843,32782
24843,32884
24843,33579
24843,33663
24843,33766
24843,33892
24843,34178
24843,34483
24843,35187
24843,35745
24843,35824
24843,36393
24843,36779
24843,36852
24843,37286
24843,37618
24843,37621
24843,37788
24843,37889
24843,38416
24843,38671
24843,38998
24843,39100
24843,39247
24843,39307
24843,39342
24843,39978
24843,40991
24843,41156
24843,41437
24843,41563
24843,41702
24843,42713
24843,42715
24843,42774
24843,43131
24843,21308
24843,21940
24843,22033
24843,22104
24843,22339
24843,22461
24843,22876
24843,23794
24843,24122
24843,24441
25103,25523
25103,25620
25103,26262
25103,26558
25103,27061
25103,27178
25103,27180
25103,27509
25103,27638
25103,28104
25103,28142
25103,28208
25103,28606
25103,28909
25103,28911
25103,29105
25103,29343
25103,29835
25103,29861
25103,29914
25103,30031
25103,30969
25103,31177
25103,31216
25103,31268
25103,31588
25103,31624
25103,32455
25103,32457
25103,32592
25103,32620
25103,32692
25103,32782
25103,32884
25103,33579
25103,33663
25103,33766
25103,33892
25103,34178
25103,34483
25103,35187
25103,35745
25103,35824
25103,36393
25103,36779
25103,36852
25103,37286
25103,37618
25103,37621
25103,37788
25103,37889
25103,38416
25103,38671
25103,38998
25103,39100
25103,39247
25103,39307
25103,39342
25103,39978
25103,40991
25103,41156
25103,41437
25103,41563
25103,41702
25103,42713
25103,42715
25103,42774
25103,43131
25103,21308
25103,21940
25103,22033
25103,22104
25103,22339
25103,22461
25103,22876
25103,23794
25103,24122
25103,24441
25523,25620
25523,26262
25523,26558
25523,27061
25523,27178
25523,27180
25523,27509
25523,27638
25523,28104
25523,28142
25523,28208
25523,28606
25523,28909
25523,28911
25523,29105
25523,29343
25523,29835
25523,29861
25523,29914
25523,30031
25523,30969
25523,31177
25523,31216
25523,31268
25523,31588
25523,31624
25523,32455
25523,32457
25523,32592
25523,32620
25523,32692
25523,32782
25523,32884
25523,33579
25523,33663
25523,33766
25523,33892
25523,34178
25523,34483
25523,35187
25523,35745
25523,35824
25523,36393
25523,36779
25523,36852
25523,37286
25523,37618
25523,37621
25523,37788
25523,37889
25523,38416
25523,38671
25523,38998
25523,39100
25523,39247
25523,39307
25523,39342
25523,39978
25523,40991
25523,41156
25523,41437
25523,41563
25523,41702
25523,42713
25523,42715
25523,42774
25523,43131
25523,21308
25523,21940
25523,22033
25523,22104
